bd09mc_X,bd09mc_Y,value,bd09_LNG,bd09_LAT,wgs84_LNG,wgs84_LAT,gcj02_LNG,gcj02_LAT
12724200,2581200,16,114.30218966594913,22.717159983027358,114.29075727885449,22.714289339636476,114.29560367952817,22.711490283700954
12744800,2567200,7,114.48724060094347,22.600430673919135,114.47601286160369,22.596885232252372,114.48078923689974,22.59408372099754
12678600,2581800,24,113.8925623535345,22.72216042190394,113.88121558045765,22.71884983478599,113.88610849491319,22.71583212159584
12724400,2589800,2,114.3039862769685,22.788815264246878,114.29258092908829,22.78593262985236,114.2974338808973,22.783158252951274
12668000,2584600,3,113.7973419695083,22.745493358661847,113.78571970116492,22.74236996570251,113.79083844283505,22.739508299382678
12683400,2583800,13,113.9356810179992,22.738827216271652,113.92424051594334,22.736115687325547,113.92911627793585,22.73311417929822
12678200,2589200,19,113.88896913149577,22.783817292651563,113.87765278298144,22.780478462441376,113.88255488572896,22.777482094816282
12706600,2567600,1,114.14408789624524,22.60376718980801,114.13254483007402,22.600262766405436,114.1376108990904,22.597556427022585
12713600,2576800,4,114.20696928192292,22.680484452660405,114.19553346343483,22.677452379140135,114.20044231456633,22.674649521227956
12684400,2559800,24,113.944664073096,22.53869038238554,113.93324592235514,22.53605912906337,113.93811621225821,22.533034460404014
12705800,2562000,9,114.13690145216779,22.55704852557324,114.1253898212627,22.553459263246072,114.13046818035755,22.550757421034323
12714800,2582000,7,114.2177489480391,22.72382719378607,114.20634787683602,22.720608884921322,114.21123541044122,22.717801224641867
12685200,2590400,52,113.95185051717345,22.793813050571078,113.94040168270823,22.791102718251608,113.94529650071385,22.78814389581351
12695600,2577600,40,114.0452742901803,22.687153469632477,114.03364954364433,22.684041100009836,114.03874293365,22.6813049384279
12728000,2583800,3,114.33632527531702,22.738827216271652,114.32492299124833,22.735561029315512,114.32981745627647,22.732828923441055
12695000,2558800,22,114.03988445712221,22.53034495533359,114.02831866015481,22.527181092289716,114.03339131212566,22.52440896897289
12697400,2566800,3,114.06144378935457,22.597094076214834,114.04974539173418,22.59413834625771,114.0548587901625,22.591420440263406
12725400,2588400,13,114.31296933206531,22.777153042379172,114.30156141585351,22.77424383813107,114.30642447880813,22.771480376128874
12708000,2573600,5,114.15666417338078,22.65380510392174,114.14514395639992,22.6505296482981,114.15018307754387,22.64781191415418
12730600,2577600,9,114.35968121856872,22.687153469632477,114.34831893834654,22.683535068631617,114.35324378656162,22.680831808905346
12665400,2582400,1,113.77398602625658,22.727160675928246,113.76237484213118,22.723685000514347,113.76753266159028,22.720841991074742
12747600,2561600,8,114.51239315521454,22.553710865121833,114.50123471296081,22.550521114346292,114.5059193621431,22.547639883424203
12698200,2563000,31,114.06863023343202,22.565392319272263,114.05694402761983,22.562441388385,114.06206359946367,22.55973250266596
12697800,2557600,15,114.06503701139329,22.520329769533074,114.0533702220281,22.517391154646624,114.05848304503277,22.514673582589452
12678400,2585000,5,113.89076574251514,22.748826306528926,113.87943799535924,22.745502527102005,113.8843351675286,22.74249371775436
12674000,2566000,24,113.85124030008916,22.590420635397464,113.83973165058347,22.587499534156922,113.84470308943523,22.584509781658376
12724400,2581400,13,114.3039862769685,22.718826816523418,114.29255087875043,22.715958736156395,114.29739932537815,22.71316288759034
12674000,2577600,19,113.85124030008916,22.687153469632477,113.83974302365863,22.684218369306514,113.8447206131364,22.681246106893713
12674200,2585200,9,113.85303691110853,22.750492749626392,113.84155219465339,22.747513559943386,113.84652917740674,22.744555254374955
12727800,2568000,2,114.33452866429765,22.6071036238721,114.32312199470148,22.603900342010466,114.32800528138887,22.601135722060416
12673000,2572600,11,113.84225724499235,22.645466731422893,113.83072916753314,22.642666438204117,113.83572786798034,22.639701774386435
12723400,2571400,1,114.29500322187168,22.63546000841719,114.28362223185556,22.63257213301762,114.28845659174738,22.629744452012197
12685000,2589000,8,113.9500539061541,22.782151260953857,113.9386135682054,22.77945696749545,113.94350536033848,22.776490909084036
12717800,2578400,20,114.24469811332953,22.693822158370086,114.23341605474906,22.690319371211746,114.23825806189826,22.68747941645706
12716800,2579400,57,114.23571505823273,22.702157557598614,114.22440384074878,22.69869762686904,114.22925788988532,22.69586515422889
12672200,2573600,9,113.8350708009149,22.65380510392174,113.82351043323065,22.651066094989527,113.82852907073429,22.648116653795157
12695200,2571600,38,114.04168106814159,22.637127846787724,114.03009048173567,22.633977174088322,114.0351736693588,22.631221661287935
12676000,2585400,2,113.86920641028279,22.75215917216491,113.85781686991373,22.748933578462598,113.86275474953435,22.745949551505827
12668400,2579000,23,113.80093519154701,22.698823459474497,113.78929934767139,22.695779148968356,113.79440732170106,22.69289959362013
12718600,2566800,4,114.25188455740698,22.597094076214834,114.24060101270959,22.59362138575176,114.2454300665407,22.59076099825664
12675200,2587600,19,113.86201996620534,22.770488462866044,113.85060248792482,22.767362205571736,113.85555823184818,22.76439486944836
12707400,2565200,10,114.15127434032269,22.58374686743089,114.13972892657385,22.580371012445234,114.14477692415439,22.577651227895956
12715600,2583600,39,114.22493539211655,22.737160629294216,114.21358160570493,22.733825155276165,114.2184557838248,22.73101241650929
12726600,2579200,4,114.32374899818149,22.700490518798556,114.31232026008867,22.697466607045865,114.31719334861688,22.694700172860163
12676200,2585000,2,113.87100302130214,22.748826306528926,113.85961917727681,22.745579278418166,113.86455288606614,22.742591707418807
12707600,2572000,21,114.15307095134204,22.640463462088793,114.14154933055386,22.637119270465288,114.14659655452466,22.63440498106383
12730800,2578000,16,114.3614778295881,22.690487855035254,114.35011164503416,22.686855189403207,114.35503897567321,22.68415567691172
12677000,2568200,4,113.8781894653796,22.608771810216915,113.86682561527904,22.60548743371378,113.87173556241906,22.602458974466213
12673800,2567000,27,113.8494436890698,22.598762385293327,113.8379231267211,22.595867311825153,113.84289980040487,22.5928818652716
12720000,2582400,6,114.26446083454252,22.727160675928246,114.25315411085089,22.723787792359317,114.25798465202709,22.720955376745863
12725600,2589200,3,114.31476594308467,22.783817292651563,114.30335604686705,22.78089031488757,114.30822190411934,22.77813218310115
12672200,2569000,2,113.8350708009149,22.61544435098736,113.82348314070504,22.612706151236637,113.82849938989165,22.60974997819412
12673600,2566000,8,113.84764707805044,22.590420635397464,113.83611712229687,22.587552835228646,113.84109799791706,22.584569608799413
12710000,2574200,3,114.1746302835744,22.658807881534827,114.16310242550139,22.65583945683498,114.16809443842806,22.65309019070541
12722400,2573200,1,114.28602016677488,22.65046981638791,114.27467753109178,22.64747309404512,114.27950649044412,22.64463744844737
12696800,2573000,20,114.05605395629648,22.64880214188697,114.04440491111954,22.645818072497956,114.0495141777332,22.643097996786505
12679000,2555400,24,113.89615557557322,22.501966688579866,113.88483633809928,22.498718852811844,113.88971050753418,22.49566694956355
12717800,2566400,14,114.24469811332953,22.59375739670449,114.23341041977206,22.59027100284058,114.23824608967081,22.587412353552903
12685000,2566800,14,113.9500539061541,22.597094076214834,113.93858774195567,22.59443621533582,113.94346771643521,22.59142612234987
12721000,2583000,19,114.27344388963934,22.73216074506883,114.26211172695712,22.728930237644608,114.26694175050234,22.726103538716107
12671800,2580200,4,113.83147757887618,22.70882550753567,113.8198615284664,22.7060816443603,113.82489352406598,22.703151811146483
12677400,2588600,36,113.88178268741832,22.778819135816494,113.87045440025935,22.775483131647476,113.87536833041325,22.772491757195258
12703400,2567800,9,114.11534211993543,22.605435417068744,114.10376445430023,22.601824273523963,114.1088813998169,22.599146447962045
12674400,2580200,15,113.85483352212789,22.70882550753567,113.84333958895387,22.70582482470916,113.8483093406506,22.7028516332673
12686600,2561200,10,113.96442679430899,22.550373122986336,113.9530022481871,22.547562735905963,113.95790115201025,22.544577963160226
12702600,2569200,14,114.10815567585799,22.61711243502192,114.09656050800771,22.613588385147924,114.10168574775513,22.610914513768744
12692600,2573000,29,114.01832512488987,22.64880214188697,114.00686763496965,22.645345519085783,114.01189868319615,22.642527222542558
12703200,2578600,28,114.11354550891608,22.695489279259103,114.10196423239067,22.691880393427017,114.10708915940837,22.689220873911157
12665800,2584200,5,113.7775792482953,22.74216032857299,113.76597851767035,22.73871531968705,113.77113238131759,22.7358740702913
12746400,2573600,1,114.50161348909836,22.65380510392174,114.4904515537716,22.65040255511562,114.4951807361939,22.6475675258815
12678200,2593600,6,113.88896913149577,22.820464780648884,113.8776190380933,22.817106909613884,113.88252353056302,22.814123285371455
12685600,2586600,35,113.95544373921219,22.762157275593207,113.94399972538083,22.75942742387867,113.94889750277743,22.756465251361657
12722000,2579200,7,114.28242694473614,22.700490518798556,114.2710623112546,22.697420584196138,114.27589265726088,22.694592530140557
12681400,2587600,4,113.91771490780557,22.770488462866044,113.9063546454972,22.76752047717073,113.91122936761646,22.76451394402575
12680400,2580200,1,113.90873185270875,22.70882550753567,113.89736548728825,22.705713205841782,113.90224055104488,22.70268668581294
12675600,2590200,1,113.86561318824407,22.792147142383957,113.85420896796359,22.788958691365533,113.85915759238927,22.78599287207327
12685200,2586000,20,113.95185051717345,22.757158316415225,113.94040326482279,22.75445974540448,113.94529574211144,22.751488985328866
12723400,2567400,3,114.29500322187168,22.60209894209109,114.28359650075897,22.599210844543695,114.28842872068294,22.5963778561658
12691600,2558600,1,114.00934206979306,22.528675808704765,113.99792626813762,22.52520070068868,114.00292708614292,22.522341174613466
12680600,2586800,24,113.91052846372813,22.763823554186594,113.89918783889713,22.76073212199674,113.90406522411615,22.757721592518838
12684200,2591000,4,113.94286746207665,22.798810651592788,113.93142246249748,22.796120197258507,113.93630752552086,22.793147738838893
12683800,2557000,33,113.93927424003792,22.515321901250317,113.92785663867586,22.512674960524354,113.93272068827017,22.50964134504527
12717200,2561400,4,114.23930828027144,22.552042004264013,114.22804477867179,22.548585814139397,114.23288427619205,22.545725901527387
12681000,2589000,22,113.91412168576684,22.782151260953857,113.90277207490749,22.7791164908348,113.90764877594745,22.77611253648598
12698800,2581600,10,114.0740200664901,22.72049362948266,114.06230368777283,22.717478020478232,114.06743806268285,22.71480584718487
12698200,2572000,26,114.06863023343202,22.640463462088793,114.05695174453624,22.637504717702125,114.06207622801048,22.634806196352354
12666600,2584000,3,113.78476569237276,22.740493782698294,113.77315697392483,22.737144020991817,113.77829943341486,22.734295897810835
12690800,2578800,26,114.0021556257156,22.69715637962763,113.99071775275034,22.693677512768765,113.99571112757872,22.690821048968647
12695800,2557200,4,114.04707090119967,22.516991211073474,114.03546039634342,22.513927981361793,114.04054608064993,22.51117315883373
12683000,2572600,22,113.93208779596047,22.645466731422893,113.92068701359445,22.642747276468423,113.92555502288707,22.639719046603524
12678600,2581600,17,113.8925623535345,22.72049362948266,113.88121520997232,22.717183404662944,113.88610801898191,22.71416523547156
12724400,2589600,6,114.3039862769685,22.78714929429924,114.29258204348154,22.7842674191697,114.2974348899599,22.781492482916136
12735000,2576200,5,114.39920666099471,22.675482474572412,114.38775524540786,22.67219516175542,114.39270732099956,22.669532981720227
12707000,2562400,4,114.14768111828397,22.56038610433117,114.13616197343227,22.556951168771143,114.14121694815381,22.55423467088493
12685400,2586200,9,113.95364712819283,22.75882465670636,113.94220078759221,22.75611206694446,113.94709579559432,22.753145276477913
12669400,2578800,9,113.80991824664383,22.69715637962763,113.7982763999559,22.694268830577883,113.80336344140174,22.691374837714214
12698600,2562800,24,114.07222345547075,22.563723601386236,114.0605384039394,22.560754583570787,114.0656611309586,22.55805100852383
12671400,2577400,3,113.82788435683746,22.685486246158522,113.81627692950752,22.682755817148507,113.821317024095,22.67982691869142
12680800,2591200,24,113.91232507474749,22.80047647741627,113.90096677397277,22.79740163793181,113.90584549750407,22.794403491213377
12744400,2567600,8,114.48364737890473,22.60376718980801,114.47240759098887,22.600214889496847,114.47719639592944,22.597424024722535
12697600,2582000,19,114.06324040037393,22.72382719378607,114.05153130410346,22.720849221699403,114.05665524624723,22.718160809076693
12683200,2585200,7,113.93388440697983,22.750492749626392,113.92245958066758,22.747763693465146,113.92733509711208,22.7447635519535
12737000,2587600,12,114.41717277118833,22.770488462866044,114.40568067829125,22.767430880168487,114.41063126532433,22.76479531174214
12682200,2586800,7,113.92490135188302,22.763823554186594,113.913514359784,22.760976710025442,113.91838803762579,22.757972236716512
12683000,2562800,2,113.93208779596047,22.563723601386236,113.92067799582613,22.561012716883262,113.92554082658788,22.557973058247228
12678200,2560800,5,113.88896913149577,22.547035299176148,113.87766556805197,22.543745378806534,113.8825526241761,22.54069975573156
12714800,2582200,14,114.2177489480391,22.725493945127898,114.20634852188954,22.72227532319862,114.21123616052608,22.719468124866754
12705800,2569200,33,114.13690145216779,22.61711243502192,114.12536836960425,22.613512624021787,114.13045066769239,22.610817835112723
12731200,2580600,1,114.36507105162681,22.712159359329963,114.35368671554835,22.70850177566242,114.35861975726827,22.705813426867046
12686200,2593800,3,113.96083357227027,22.82213033866229,113.94935887184911,22.819307895286403,113.95426884974249,22.816377422606617
12685200,2590600,37,113.95185051717345,22.795478938169023,113.94040015664724,22.792767755888264,113.94529507918378,22.78980950022746
12703000,2563000,20,114.11174889789672,22.565392319272263,114.10017962299561,22.561828307449407,114.10529799709047,22.559147254971748
12714200,2577800,15,114.21235911498101,22.688820672591774,114.20094464572172,22.685702963123568,114.2058415895814,22.682893803654153
12752600,2562400,7,114.5573084306986,22.56038610433117,114.54621141000615,22.5576759266749,114.55075700185306,22.554677297723963
12740200,2570600,7,114.44591854749812,22.628788450162403,114.43448778993803,22.62566991423977,114.43938569421452,22.62296964451254
12681800,2553400,16,113.92130812984429,22.48527083819921,113.90991792661823,22.482403830414096,113.9147739760072,22.479352542744007
12708000,2573800,6,114.15666417338078,22.65547271695229,114.14514397040077,22.65219695115453,114.15018319937873,22.649479551652224
12686800,2563000,15,113.96622340532836,22.565392319272263,113.95478624867363,22.562547011615614,113.9596893449939,22.559567652220778
12687400,2578800,2,113.97161323838644,22.69715637962763,113.96016330297086,22.694184212474248,113.96508519239704,22.691240755204614
12676200,2592800,9,113.87100302130214,22.813802342529467,113.85960444341252,22.81053173828482,113.86454233801346,22.80756560536708
12698200,2563200,9,114.06863023343202,22.567061016729053,114.05694220204269,22.56410959765487,114.06206188090975,22.561400861187085
12711000,2571800,34,114.18361333867121,22.638795664678646,114.1720920315795,22.63590680731386,114.1770583962258,22.633136705706573
12687800,2567000,5,113.97520646042517,22.598762385293327,113.96375943844704,22.595734733866607,113.96868245995087,22.59278167630117
12678400,2585200,6,113.89076574251514,22.750492749626392,113.87943957591646,22.747168804025293,113.88433685184425,22.744160496299912
12736200,2572200,10,114.40998632711089,22.642131239016994,114.39850980257829,22.63902394876845,114.40345693099334,22.636356852129254
12690200,2582600,1,113.99676579265753,22.72882738618597,113.98532810662681,22.72539014527282,113.99030994255465,22.72252581926612
12703200,2579800,26,114.11354550891608,22.70549157362211,114.10195622189002,22.701878696989347,114.10708181246626,22.699221701285854
12706400,2572600,8,114.14229128522588,22.645466731422893,114.13078130022967,22.641935164969475,114.1358539891755,22.639238163364038
12684400,2578800,28,113.944664073096,22.69715637962763,113.93320519309079,22.69449459423034,113.9380854960862,22.691494461583147
12729400,2590400,1,114.34890155245256,22.793813050571078,114.33753767489492,22.790298948178755,114.34245457292253,22.787607962866637
12703000,2571400,34,114.11174889789672,22.63546000841719,114.1001839089979,22.63188833726881,114.10530684822422,22.629216669986228
12692200,2560800,11,114.01473190285114,22.547035299176148,114.0032942217817,22.543570107868835,114.00830977579582,22.540727805561488
12716800,2579600,18,114.23571505823273,22.70382457587352,114.22440265949618,22.700364005127852,114.22925681633376,22.697531958133652
12734800,2586600,5,114.39741004997535,22.762157275593207,114.38596383999517,22.758816020664014,114.39092148304799,22.756176542928273
12675800,2562600,9,113.86740979926343,22.56205486307215,113.85602060191795,22.558890454412552,113.86095040922147,22.555870975938905
12685800,2561000,8,113.95724035023154,22.54870422129,113.94581168939318,22.545997278912502,113.95069857345733,22.542996481161854
12687800,2559600,30,113.97520646042517,22.537021337791362,113.96380230339825,22.534007024779317,113.96872147808669,22.531048350528977
12676000,2585200,7,113.86920641028279,22.750492749626392,113.85781532525506,22.74726733057869,113.86275310183012,22.744282800361
12706400,2562800,14,114.14229128522588,22.563723601386236,114.13077203611368,22.56020053808096,114.13583944712873,22.55749218013276
12677600,2566600,12,113.88357929843768,22.59542574668483,113.87222756544007,22.592120320128746,113.87712666641926,22.589084212713978
12673200,2588800,10,113.84405385601171,22.78048520867511,113.83252892543138,22.777628586150563,113.83753148920667,22.7746961593399
12669000,2588600,11,113.8063250246051,22.778819135816494,113.79470996078787,22.775855538267514,113.7998108066538,22.772991001456873
12675200,2587400,19,113.86201996620534,22.76882226655262,113.85060203433758,22.765696430179332,113.85555767265635,22.762728561347437
12679800,2562200,21,113.90334201965068,22.558717325164476,113.8920224399095,22.555553646972623,113.89689233273758,22.552501548848813
12682600,2590000,15,113.92849457392175,22.790481213608842,113.91709265965102,22.78767766721184,113.92196865133823,22.784684867857578
12679600,2558000,7,113.9015454086313,22.523668246402558,113.89023931502635,22.52048396938426,113.89510873224862,22.517430311688905
12677000,2568400,4,113.8781894653796,22.61043997610202,113.86682663567727,22.607155580153297,113.8717366866587,22.604127362392354
12673800,2567200,20,113.8494436890698,22.600430673919135,113.83792333973715,22.597535441736653,113.84290011934128,22.59455021727137
12725600,2589000,2,114.31476594308467,22.782151260953857,114.30335676891315,22.779224957694648,114.3082225203755,22.776466273029136
12709200,2570600,6,114.16744383949695,22.628788450162403,114.15590042334699,22.625716186407764,114.16090989731062,22.622974699837016
12674600,2594400,1,113.85663013314725,22.827126889044493,113.84514027468443,22.824059839623025,113.85011306830783,22.821121047687438
12736200,2585400,3,114.40998632711089,22.75215917216491,114.39849403000936,22.749022918255324,114.40344826366456,22.746383118682488
12718400,2566800,1,114.25008794638762,22.597094076214834,114.23880437932019,22.593613531083065,114.2436349388213,22.59075350224313
12696800,2573200,12,114.05605395629648,22.65046981638791,114.0444053572408,22.647485531846048,114.0495147335136,22.64476578275394
12724800,2588000,12,114.30757949900722,22.77382079377305,114.29617466840543,22.770940640904886,114.30103079120771,22.768167031031794
12695400,2585800,4,114.04347767916094,22.75549195556049,114.03186821340306,22.752337882148318,114.03696264701397,22.74961604934596
12707600,2562200,20,114.15307095134204,22.558717325164476,114.14154839133089,22.55538277464695,114.14659033558468,22.552657614425918
12682400,2587000,8,113.92669796290238,22.76548981221173,113.91530591397368,22.762669630000303,113.92017992933782,22.759667090901907
12733800,2584800,17,114.38842699487853,22.747159842873696,114.37700167283712,22.7436693448216,114.38195617235482,22.741019312327513
12677400,2588400,40,113.88178268741832,22.777153042379172,113.87045467980464,22.773817618994006,113.87536850315911,22.770825698985988
12734800,2576800,3,114.39741004997535,22.680484452660405,114.38596003106828,22.677163750264164,114.39091239708573,22.674501906183124
12674600,2588000,29,113.85663013314725,22.77382079377305,113.84518081193308,22.77077964987575,113.85015008270477,22.76782236300394
12695400,2562200,29,114.04347767916094,22.558717325164476,114.03187918731881,22.555602305447465,114.03696080791995,22.552840997389115
12714800,2585800,2,114.2177489480391,22.75549195556049,114.20637325695783,22.75226985987384,114.21126276000071,22.749471427885844
12671800,2567200,1,113.83147757887618,22.600430673919135,113.81986798206039,22.597708332597012,113.8248929925083,22.59475682701866
12676000,2575000,143,113.86920641028279,22.66547796475292,113.85783330741263,22.66227712074221,113.86276562227181,22.65927053503744
12665000,2579800,3,113.77039280421785,22.70549157362211,113.75878195785339,22.702000755031516,113.7639427738642,22.69915401102909
12682200,2555400,17,113.92490135188302,22.501966688579866,113.91351140504544,22.499160424614793,113.91836849959671,22.49611141053648
12682600,2570200,2,113.92849457392175,22.625452548187784,113.91708863420115,22.622688576370127,113.92195414096557,22.61965324296079
12702000,2562200,10,114.1027658427999,22.558717325164476,114.0911694290018,22.55528903915034,114.09629494553074,22.552608474459205
12685600,2586400,15,113.95544373921219,22.760490976432745,113.94399864910463,22.75776141141497,113.94889631839186,22.754798714582193
12698200,2564800,11,114.06863023343202,22.580409860790095,114.05692895610693,22.577454671662515,114.06204949271746,22.574747261171083
12735200,2586600,5,114.40100327201407,22.762157275593207,114.38954444126733,22.758878371170262,114.39450200851395,22.756240368582066
12744200,2571800,4,114.48185076788538,22.638795664678646,114.47063189756578,22.635245088229194,114.47542884744888,22.632464772809996
12684000,2561000,18,113.94107085105729,22.54870422129,113.92965377090226,22.546064898334333,113.93452137331928,22.543035361520293
12680400,2580400,2,113.90873185270875,22.71049244369831,113.89736482522429,22.707379594111668,113.90223999524912,22.704353510526342
12675600,2590000,13,113.86561318824407,22.790481213608842,113.85421030440126,22.787293574368945,113.85915881908151,22.784327189040198
12671200,2579000,36,113.82608774581809,22.698823459474497,113.81446169380771,22.69608467132288,113.81950748065918,22.69316240576595
12676800,2573800,2,113.87639285436023,22.65547271695229,113.86505470678911,22.652199994127507,113.86997111577185,22.64918173726475
12683800,2557200,31,113.93927424003792,22.516991211073474,113.9278580051557,22.51434451875877,113.93272216122521,22.511310946955458
12682000,2560400,43,113.92310474086366,22.543697393700665,113.91174021786912,22.54086565939923,113.91659986957036,22.537816807764543
12736400,2579600,1,114.41178293813024,22.70382457587352,114.40026817178881,22.7007212612359,114.40521831609479,22.69806770700376
12695800,2560200,3,114.04707090119967,22.54202841034137,114.03546669125629,22.53896567347325,114.04055401339262,22.536211935883685
12668400,2573400,1,113.80093519154701,22.65213747039989,113.78933390268966,22.649109939092185,113.79443877142819,22.646219861943827
12738600,2579000,4,114.43154565934323,22.698823459474497,114.42003871146922,22.69581859722421,114.42496773792405,22.69315240390813
12698000,2563200,13,114.06683362241266,22.567061016729053,114.05514702658715,22.564114594400365,114.06026485962784,22.561402929933177
12684400,2582000,3,113.944664073096,22.72382719378607,113.93319625204403,22.721156968557107,113.9380782441128,22.71816384311521
12691000,2584600,7,114.00395223673497,22.745493358661847,113.99251825596102,22.741992066391106,113.99751932837006,22.739154300920397
12692800,2563200,16,114.02012173590923,22.567061016729053,114.00864169529659,22.563626874735665,114.0136718316855,22.560802132385696
12711400,2563400,15,114.18720656070994,22.568729693755433,114.17568389872532,22.56585799867467,114.18063612356136,22.56307144911931
12720800,2578400,5,114.27164727861997,22.693822158370086,114.2603290809578,22.690572413609654,114.26515657545036,22.6877344413272
12702200,2580600,5,114.10456245381927,22.712159359329963,114.09293678739691,22.708668777913886,114.09807114328183,22.706015289034134
12734600,2581600,1,114.39561343895598,22.72049362948266,114.38414274876884,22.717126608604033,114.38909752456506,22.714473917239733
12683200,2585400,4,113.93388440697983,22.75215917216491,113.92246111446873,22.749429936096043,113.92733673781701,22.74643030292587
12696800,2572800,5,114.05605395629648,22.647134446898242,114.04440432620355,22.644150562087354,114.04951348295211,22.641430162752837
12737000,2587800,8,114.41717277118833,22.77215463860658,114.40568098126325,22.769096601482875,114.41063167574262,22.766461570303633
12732600,2584200,18,114.37764732876235,22.74216032857299,114.36625282816821,22.738535783862243,114.37120032736551,22.735873240760316
12695400,2587000,9,114.04347767916094,22.76548981221173,114.0318749008925,22.76233406880536,114.03697000232157,22.759615376935603
12714800,2582400,4,114.2177489480391,22.727160675928246,114.20634929842464,22.723941764419816,114.21123704182662,22.721135030676045
12691600,2572200,1,114.00934206979306,22.642131239016994,113.99791578853686,22.638642486156247,114.00292389533384,22.635795922649443
12746000,2559400,1,114.49802026705964,22.535352272787897,114.48686104905342,22.53191253047447,114.49159553954729,22.52907327217566
12703000,2563200,16,114.11174889789672,22.567061016729053,114.10017780241158,22.563496514796753,114.1052962870711,22.560815613624925
12682800,2590200,1,113.93029118494111,22.792147142383957,113.91888237553222,22.7893661846473,113.92375901216191,22.786375643642042
12708400,2574800,19,114.1602573954195,22.66381047469469,114.1487315152779,22.6606028728223,114.15376210822453,22.657880988287946
12692800,2577000,2,114.02012173590923,22.68215173767132,114.00863952187102,22.678699770027553,114.01367710798284,22.675893849685515
12744200,2567000,29,114.48185076788538,22.598762385293327,114.47060261081401,22.595211779299557,114.47539713068278,22.592425252668438
12673600,2578600,34,113.84764707805044,22.695489279259103,113.8361197051523,22.692603811679746,113.84110729406663,22.68964011622457
12687400,2578600,8,113.97161323838644,22.695489279259103,113.96016487540423,22.692517813883665,113.96508666127566,22.689573947184776
12702200,2563200,7,114.10456245381927,22.567061016729053,114.09296424481865,22.563600331137405,114.09808909558083,22.5609205558972
12698200,2563400,31,114.06863023343202,22.568729693755433,114.05694038479344,22.56577778446512,114.06206017069749,22.563069200877745
12687800,2567600,2,113.97520646042517,22.60376718980801,113.96376051098052,22.600739132099502,113.9686838543853,22.59778675665421
12697800,2557200,19,114.06503701139329,22.516991211073474,114.05336775217009,22.51405216237397,114.05848035500325,22.511334490845307
12675200,2556200,1,113.86201996620534,22.508644458029462,113.85060285545755,22.50556143980972,113.85554191515601,22.502547640772963
12678400,2556600,27,113.89076574251514,22.51198322042319,113.87945549077544,22.508699693606207,113.8843376295225,22.505651249096978
12718600,2584200,7,114.25188455740698,22.74216032857299,114.24060790537943,22.738659390048284,114.24544615542227,22.735830344379366
12674200,2585600,30,113.85303691110853,22.753825574143335,113.84155522874951,22.750846023441078,113.8465324174999,22.74788872679507
12694800,2571000,27,114.03808784610285,22.63212427024199,114.02651288236878,22.62891957104758,114.03158839265639,22.626153905965886
12682400,2565000,5,113.92669796290238,22.582078374330976,113.91528648234697,22.579292322196522,113.92014885940344,22.57624941329163
